"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 13 03:13:43 UTC 2023","Wed Dec 13 03:14:00 UTC 2023","16991","","6. Company Account","","","","1. Validate login credentials",""
"passed","Wed Dec 13 04:20:03 UTC 2023","Wed Dec 13 04:20:03 UTC 2023","16","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Wed Dec 13 03:07:42 UTC 2023","Wed Dec 13 03:07:48 UTC 2023","5702","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Wed Dec 13 03:32:30 UTC 2023","Wed Dec 13 03:32:35 UTC 2023","4952","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Wed Dec 13 02:41:31 UTC 2023","Wed Dec 13 02:41:44 UTC 2023","13122","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"skipped","Wed Dec 13 03:50:58 UTC 2023","Wed Dec 13 03:50:58 UTC 2023","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Wed Dec 13 03:58:00 UTC 2023","Wed Dec 13 03:58:16 UTC 2023","16349","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Wed Dec 13 04:22:22 UTC 2023","Wed Dec 13 04:22:28 UTC 2023","5969","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Wed Dec 13 02:39:42 UTC 2023","Wed Dec 13 02:39:49 UTC 2023","7460","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Wed Dec 13 03:07:48 UTC 2023","Wed Dec 13 03:07:50 UTC 2023","2455","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed Dec 13 02:36:08 UTC 2023","Wed Dec 13 02:36:14 UTC 2023","5679","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Dec 13 04:21:09 UTC 2023","Wed Dec 13 04:22:17 UTC 2023","68001","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
